id,title,contents,platform,author,published_at,url,region,hit_words,polarity,classification
2024010135070,惠工社区：“无烟佳节 与爱同行”,"title: 惠工社区：“无烟佳节 与爱同行” content: 为进一步推动辖区控烟工作开展，营造无烟佳节的氛围，倡导科学、文明、绿色环保的健康生活方式，近日，惠工社区开展“无烟佳节与爱同行”控烟宣传活动。 ""; 社区工作人员通过PPT讲解、播放视频等形式向居民介绍吸烟和二手烟的危害，同时向居民介绍了一些有效的戒烟方法和技巧，帮助他们克服戒烟过程中的困难，大力弘扬无烟健康过节文化，倡导过节不吸烟、不敬烟、不送烟，引导居民养成健康的生活方式和生活习惯。 此次活动增强了大家的控烟戒烟意识，让践行文明健康绿色环保生活方式的理念深入人心，也促使辖区内更多的居民积极参与到控烟行动中来，自觉成为控烟行动的宣传者、践行者。（通讯员：惠工社区陈琴） ""; ""; 来源：惠工社区 ""; 宣传标语 反诈骗宣传标语： 未知链接不点击，陌生来电不轻信。 个人信息不透露，转账汇款多核实。 美好环境幸福生活共同缔造宣传标语： 扎实开展美好环境与幸福生活共同缔造活动，走好新时代党的群众路线。 ""; ""; 文明倡议 说文明话，办文明事，做文明人，告别、劝导不文明行为。遵守社会文明公约，自觉做到“三管九不”，即：管住自己的口，不随地吐痰，不说粗话脏话，不在公共场所吸烟；管住自己的手，不乱扔乱倒，不乱贴乱画，不损坏公共设施；管住自己的腿，不乱穿马路，不践踏花草，不乱停乱放。 ""; ""; ""; ""; 扫码关注",微信,荆州市沙市区崇文街道办事处,2024-01-31 23:59:27,http://mp.weixin.qq.com/s?__biz=MzIyODUyMDQ1Mg==&mid=2247557189&idx=6&sn=cf14187b35071962a1f036a263f7a918&chksm=e853072edf248e38d1e91f7ba39fd96e0c82004d273c6da79a4f31850773430ee0bd55cb414f#rd,未知,控烟、戒烟、控烟戒烟,中性,未知
2024010135073,六团医院开展“无烟佳节 与爱同行”义诊宣传活动,"title: 六团医院开展“无烟佳节 与爱同行”义诊宣传活动 content: 为进一步推动控烟工作开展，引导居民群众践行文明健康绿色环保生活方式，营造春节无烟氛围。 近日，六团分院公卫科 组织工作人员来到市场开展“无烟佳节 与爱同行”为主题的宣传活动。 ""; 活动中，工作人员通过在市场悬挂横幅、摆放宣传版面、向居民宣传吸烟及二手烟的危害、戒烟的好处，并呼吁居民不要在室内、公共场所吸烟，共同营造清新健康的无烟环境。同时，引用详细的数据和案例，从医学角度深入浅出地阐述了烟草对健康的危害，讲解了如何科学戒烟以及戒烟的好处，使群众充分认识到吸烟对个人、家庭和社会的影响 。同时，医护人员为居民做针对性的健康指导，向前来咨询的居民介绍烟草的种种危害，发放控烟宣传手册，并讲解吸烟和二手烟对家人的危害。 ""; ""; 居住在迎春小区的李强兵说：“通过今天的宣传，我知道了二手烟的危害，我将从自身做起，倡导身边人过节不抽烟、不送烟，对二手烟说 ‘不 ’共度无烟健康佳节。” 六团医院公卫科工作人员杨佳琪说：“今天通过发放健康宣传手册，提高干部职工群众自觉抵制吸烟与被动吸烟意识，树立从被动接受到主动参与控烟的健康理念，形成人人参与控烟活动，共创健康无烟环境的良好氛围。” 本次活动悬挂横幅一条，制作宣传栏展板一块，发放宣传页130余份，向职工群众宣传100余人次。 "";",微信,第一师医院六团分院,2024-01-31 23:57:01,http://mp.weixin.qq.com/s?__biz=MzkwMjEzODgyNw==&mid=2247508864&idx=5&sn=bf5e9a6302bce458f613a6ad7ae524c4&chksm=c0a8fd24f7df74327c661834837cfad1613cb54d0aa32ada2ce346f2234e7634bfc5203dd6d0#rd,未知,控烟、戒烟,正面,未知
2024010135076,【工作落实年】光华社区丨拒绝烟草危害  提高生活质量,"title: 【工作落实年】光华社区丨拒绝烟草危害 提高生活质量 content: 为进一步推动控烟工作开展，引导群众践行文明健康绿色环保生活方式，1月29日，光华社区在会议室组织10余名社区干部和居民开展了以“拒绝烟草 珍爱生命”为主题的健康教育知识讲座。 ""; 活动中，社区干部张丹围绕主题，以PPT的形式结合鲜活的案例，让大家了解了吸烟和二手烟对健康的危害及引发的常见疾病和危害。倡导广大群众养成健康的生活方式和良好的生活习惯。在讲座结束后，社区工作人员来到辖区商户公共场所进一步宣传讲解，提升居民主动戒烟意愿，引导居民主动做控烟宣传者和倡导者。 ""; 小年，中国传统节日，也称“交年节”、“灶神节”、“祭灶节”等。小年的民俗活动主要有扫尘、祭灶等。 小年，中国传统节日，也称“交年节”、“灶神节”、“祭灶节”等。小年的民俗活动主要有扫尘、祭灶等。 来源：绥芬河镇光华社区 撰稿：刘丹凤 监制：李梓萌、王璐璐 "";",微信,百年旗镇,2024-01-31 23:54:01,http://mp.weixin.qq.com/s?__biz=MzUyNTYxMzgyOQ==&mid=2247516365&idx=5&sn=672f10c6a8c06d8f65df14895b13cd7c&chksm=fa19aea7cd6e27b144e1ae479c5a894717f07161e1d38bc6d9adea3a1256d8c1be7ad2d9a573#rd,未知,控烟、戒烟,中性,未知
2024010135079,【美好环境与幸福生活共同缔造】无烟佳节 与爱同行,"title: 【美好环境与幸福生活共同缔造】无烟佳节 与爱同行 content: 无烟佳节 与爱同行 ""; ""; ""; 控烟禁烟倡议 烟草是人类健康的致命杀手。我国是世界上最大的烟草生产国和消费国，也是烟草最大的受害国，每年有超过100万人死于烟草导致的相关疾病。但是，由于公众对烟草危害的认识不够，在我国仍存在逢年过节相互递烟、送烟的社会风气。为营造无烟氛围，特向广大群众提出“健康过年， 无烟佳节”的倡议。 一、吸烟的危害 （一）致癌作用 吸烟是肺癌的重要致病因素之一，特别是鳞状上皮细胞癌和小细胞未分化癌。吸烟者患肺癌的危险性是不吸烟者的13倍，如果每日吸烟在35支以上，则其危险性比不吸烟者高45倍。吸烟者肺癌死亡率比不吸烟者高10～13倍。肺癌死亡人数中约85％由吸烟造成。吸烟者如同时接触化学性致癌物质（如石棉、镍、铀和砷等）则发生肺癌的危险性将更高。吸烟者喉癌发病率较不吸烟者高十几倍。膀胱癌发病率增加3倍，吸烟与唇癌、舌癌、口腔癌、食道癌、胃癌、结肠癌、胰腺癌、肾癌和子宫颈癌的发生都有一定关系。 （二）对心脑血管的影响 吸烟者的冠心病、高血压病、脑血管病及周围血管病的发病率均明显升高。统计资料表明，冠心病和高血压病患者中75％有吸烟史。冠心病发病率吸烟者较不吸烟者高3.5倍，冠心病病死率前者较后者高6倍，心肌梗塞发病率前者较后者高2～6倍，病理解剖也发现，冠状动脉粥样硬化病变前者较后者广泛而 严重。高血压、高胆固醇及吸烟三项具备者冠心病发病率增加9～12倍。心血管疾病死亡人数中的30％～40％由吸烟引起，死亡率的增长与吸烟量成正比。 据报告，吸烟者发生中风的危险是不吸烟者的2～3.5倍；如果吸烟和高血压同时存在，中风的危险性就会升高近20倍。此外，吸烟者易患闭塞性动脉硬化症和闭塞性血栓性动脉炎。吸烟可引起慢性阻塞性肺病（简称COPD），最终导致肺原性心脏病。 （三）对呼吸道的影响 吸烟是慢性支气管炎、肺气肿和慢性气道阻塞的主要诱因之一。长期吸烟可使支气管粘膜的纤毛受损、变短，影响纤毛的清除功能。此外，粘膜下腺体增生、肥大，粘液分泌增多，成分也有改变，容易阻塞细支气管。吸烟者患慢性气管炎较不吸烟者高2～4倍，且与吸烟量和吸烟年限成正比例，患者往往有慢性咳嗽、咯痰和活动时呼吸困难。吸烟者常患有慢性咽炎和声带炎。 （四）对消化道的影响 吸烟可引起胃酸分泌增加，一般比不吸烟者增加91.5％，并能抑制胰腺分泌碳酸氢钠，致使十二指肠酸负荷增加，诱发溃疡。烟草中烟碱可使幽门括约肌张力降低，使胆汁易于返流，从而削弱胃、十二指肠粘膜的防御因子，促使慢性炎症及溃疡发生，并使原有溃疡延迟愈合。此外，吸烟可降低食管下括约肌的张力，易造成返流性食管炎。 ""; 二、被动吸烟对儿童健康的危害 相对于一手烟，二手烟对于儿童的伤害是十分大的，第一是会导致婴儿在不明原因的情况下死亡的概率。 第二是导致刚出生的婴幼儿体重低于标准值。 第三是导致儿童的耳朵频繁感染炎症，中耳炎较为多见。 第四是吸烟损害肺部结构、肺功能和呼吸道免疫系统功能，引起多种呼吸系统疾病，且吸烟可导致多种间质性肺疾病，吸烟量越大，吸烟年限越长，疾病的发病风险越高。 第五是烟草烟雾中含有至少69种致癌物，当人体暴露于这些致癌物中时，会引起体内关键基因发生永久性突变并逐渐积累，正常生长调控机制失调，导致恶性肿瘤发生。 第六是吸烟会损伤血管内皮功能，导致动脉粥样硬化改变，使血管腔变窄，动脉血流受阻，引发多种心脑血管疾病。 第七是吸烟使拮抗胰岛素的激素分泌增加，影响细胞胰岛素信号转导蛋白的合成，抑制胰岛素的生成；长期吸烟还可引起脂肪组织的再分布，上述因素均可增加胰岛素抵抗，导致2型糖尿病。 ""; 三、如何科学戒烟 戒烟需具有自控力，并做好计划，培养新的兴趣爱好，必要时可在戒烟门诊进行治疗。 1、戒烟者可将每日吸烟量减半，逐步减少每日吸烟量直至归零。这样可以避免突然戒烟而导致的强烈戒断反应。还可告知周围烟友自己在戒烟，创造一个良好的外部环境。 2、还可培养新的兴趣爱好，例如运动、钓鱼等，来分散自己的的注意力，从而降低对香烟的依赖。用口香糖等零嘴替代香烟。 3、做好积极的心理建设来面对戒烟的戒断反应，如若陷入紧张不安焦虑的情绪中，可以寻求他人开导。可以进行戒烟日记书写，每天记录进展，给自己信心。 4、可以去医院开设的戒烟门诊进行专业戒烟，医生会根据每位戒烟者的情况制定个性化的戒烟方案。使用戒烟药物例如尼古丁咀嚼胶、尼古丁贴片等。需要注意的是此类药物需在医生的指导下使用。 "";",微信,龙泉街道白龙,2024-01-31 23:40:42,http://mp.weixin.qq.com/s?__biz=MzU3NTc1MDY2NQ==&mid=2247493635&idx=2&sn=84544b406ab15c93f79f8e2ad3326fdf&chksm=fd1cff65ca6b76731a063eaaaa2bcdd18f1a710ba0409a0bed9514ed20d4e150d59b5084c965#rd,未知,控烟、戒烟,正面,未知
2024010135085,“无烟佳节 与爱同行”倡议书     ——要年味不要烟味,"title: “无烟佳节 与爱同行”倡议书 ——要年味不要烟味 content: ""; ""; ""; 广大居民群众： 在新春佳节即将来临之际，为引导广大居民践行文明健康绿色环保的生活方式，减少烟草危害，共同营造节日健康无烟良好环境，现倡议如下： 1.机关单位主动带头。 2023年是中共中央办公厅国务院办公厅《关于领导干部带头在公共场所禁烟有关事项的通知》印发 10 周年。党政机关内部积极开展全方位、多角度的控烟宣传教育，引导干部不吸烟、主动戒烟，主动做控烟宣传者和倡导者。党政机关人员、医务人员、教师等率先垂范，严格遵守禁烟相关规定。 2.居民群众自觉遵守。 居民群众应自觉遵守公共场所禁止吸烟的规定，带头不吸烟，对吸烟行为及时进行劝阻，争做保护无烟环境的模范群众。 3.控烟宣传大力传播。 各机关单位、医院、学校、宾馆、车站、商场、网吧、餐饮店、体育场馆等所有公共场所实行全面禁烟，在醒目位置张贴禁烟标志，落实控烟责任。大力传播吸烟有害健康和公共场所不吸烟理念，提高防控烟草危害意识和能力，积极宣传不吸烟是文明行为，不让别人吸二手烟是社会道德行为，形成全社会参与公共场所禁烟工作的良好氛围。 4.良好氛围人人参与。 积极倡导过年不吸烟，健康过佳节。 节假日期间走亲访友、亲朋聚会自觉做到不送烟、不敬烟，营造健康的节日氛围。积极倡导“无烟家庭”“无烟佳节”“送烟 = 送危害”的理念；改变“以烟为礼”的不良社会习俗，减少烟草消费和使用。 ""; 让我们共同行动起来，从自身做起、从现在做起，追求文明健康、绿色环保的生活方式，拒绝烟草危害，珍爱生命，积极共建无烟环境，共享健康美好生活！ 西吉县爱国卫生运动委员会办公室 2024年 1 月 30 日 来源：健康西吉 编辑：苏亚楠 审核：杨 俊 县委党校宣传片 扫码关注我们 ""; ""; ""; 联系电话：0954-3012778 投稿邮箱：nxxjdangxiao@163.com 点击关注我们",微信,中共西吉县委党校 西吉行政学校,2024-01-31 23:21:04,http://mp.weixin.qq.com/s?__biz=Mzg4NTY4MTQ3Ng==&mid=2247488235&idx=4&sn=f9090d1638381a8944985796cb1f2227&chksm=cfa46ec0f8d3e7d63420648cfc55adee40f1b0b0024458d0658ca468ca9c7ce73be601e4c0fd#rd,未知,控烟、戒烟,中性,未知
2024010135088,解放桥社区开展“无烟佳节，与爱同行”活动,"title: 解放桥社区开展“无烟佳节，与爱同行”活动 content: 无烟佳节 与爱同行 wu yan jia jie yu ai tong xing ""; 烟草作为健康的无形杀手，是现阶段最严重的公共卫生问题之一，是人类健康面临的最大的危害因素之一。在春节到来之际，为营造无烟氛围，减少逢年过节相互递烟、送烟的社会风气，倡导移风易俗氛围。1月30日下午，解放桥社区联合吉安籍学子团工委、“雁归课堂”志愿者在百联首府小区开展公益“暖心课堂”第一课“无烟佳节，与爱同行”。 ""; 活动中，志愿者组织观看控烟宣传片，通过PPT为小朋友们普及烟草对健康和环境的危害，以及吸烟可能引发的疾病和二手烟的危害等健康知识。向小朋友普及吸烟的危害、什么是二手烟、戒烟的好处等知识。 ""; 随后，志愿者呼吁家长们不要在室内、公共场所、工作场所和交通工具内吸烟，共同创建无烟环境。告知家长烟草制品容易使人上瘾，容易引发心脏病，劝诫广大家长朋友远离烟草尽早戒烟。同时，志愿者们还发放控烟倡议书，宣传“无烟佳节，与爱同行”理念。 ""; ""; ""; ""; ""; 通过此次公益暖心课堂，不仅提高了家长们的控烟意识，也让小朋友们认识到吸烟的危害。大家纷纷表示会积极加入到控烟活动中，为营造“迎新春”无烟氛围贡献自己的一份力量。下一步，解放桥社区将继续做好宣传工作，普及控烟禁烟重要性，增强广大居民的健康意识，共建清洁环保的无烟社区，共享健康绿色的生活环境。 ""; 编辑：雷 欣 校稿：周水平 审核：傅 媛",微信,禾埠街道解放桥社区,2024-01-31 23:05:46,http://mp.weixin.qq.com/s?__biz=Mzg5OTg5OTAwMQ==&mid=2247494888&idx=1&sn=701765474c979be139d52f6ae458a88e&chksm=c04ee7fef7396ee8a4edc7b4764d88a520fee38d46d9dcbc67bbfa0e9d6e37cf55457cca0454#rd,未知,控烟、戒烟,正面,未知
2024010135096,【十月怀胎·爸爸戒烟】为了未来宝宝的健康，请停止吸烟,"title: 【十月怀胎·爸爸戒烟】为了未来宝宝的健康，请停止吸烟 content: ""; ""; ""; 为推动《健康青浦行动2020-2030》的实施，落实控烟行动，保障孕产妇与婴幼儿健康，帮助和指导孕产家庭成员戒烟，进一步完善全区戒烟服务网络体系建设和能力建设，推进“十月怀胎•爸爸戒烟”练塘镇社区卫生服务中心孕产家庭戒烟工作已开始。 ""; ""; ""; 来源：无烟上海 ""; 扫码关注我们",微信,青浦区练塘社区卫生服务中心,2024-01-31 22:48:07,http://mp.weixin.qq.com/s?__biz=MzI4ODE4MzY1MA==&mid=2657681674&idx=2&sn=9900a5df5d15eddc2dd549702b868227&chksm=f05fe507c7286c11e938d62a49152da34feb2cf219e0b728a2973d4b87f21299a12fe6d2b780#rd,未知,戒烟、控烟,中性,未知
2024010135099,【长期建疆】“无烟佳节 与爱同行”倡议书,"title: 【长期建疆】“无烟佳节 与爱同行”倡议书 content: ""; ""; ""; ""; 广大居民朋友们： 烟草作为健康的无形杀手，是现阶段最严重的公共卫生问题之一，是人类健康面临的最大的危险因素之一。在春节到来之际，我们倡导过节不吸烟、不敬烟、不送烟，深入推进“无烟佳节与爱同行”实践活动走深走实，远离烟草的危害，共同营造节日健康无烟的良好环境。乌尔禾区健康教育所向全体居民发出倡议： 共建无烟家庭。 家长不吸烟，主动戒烟，为青少年健康成长做表率。青少年树立“拒吸第一支烟，做无烟新一代”的理念，大手牵小手，共同打造无烟家庭。 维护无烟环境。 党政机关人员、医务人员、教师等率先垂范，严格遵守禁烟相关规定。各机关单位、医院、学校、宾馆、商场、餐饮店、体育场馆等所有公共场所实行全面禁烟，在醒目位置张贴禁烟标志，落实控烟责任，全面创建无烟环境。自觉遵守公共场所禁止吸烟的规定，带头不吸烟，对吸烟行为及时进行劝阻，争做保护无烟环境的践行者。 倡导无烟佳节。 过年不吸烟，健康过佳节，节假日期间走亲访友、亲朋聚会自觉做到不送烟、不敬烟、不吸烟，营造健康的节日氛围。 春节是中国人一年中最重要的节日，我们憧憬着新的一年称心如意。我们期待着办公室的同事戒掉吸烟的行为，每一天的工作环境都健康舒适；期待着下班后回到一个没有烟 雾缭绕的家，疲惫了一天的身体，享受彻底的放松；期待着在一个没有呛鼻烟味的商场，享受更加愉快的购物乐趣。让我们珍爱健康，远离烟草，过一个清新舒畅、亲情友情满满的无烟健康年。 ""; 通讯员： 周易 供稿单位： 乌尔禾区 区卫健委 单位审核人： 刘志扬 ""; ""; "";",微信,乌尔禾零距离,2024-01-31 22:46:56,http://mp.weixin.qq.com/s?__biz=MzA5MTQ4OTAxNg==&mid=2655675591&idx=5&sn=fd72f20f76670a891566f264da86c0a1&chksm=8bc55350bcb2da467ef0eb5ff1dfd812231f58b4cfda1008bdb50548191f356076a738e0d23e#rd,未知,戒烟、控烟,中性,未知
2024010135108,顺平县开展“无烟佳节 与爱同行”主题宣传活动,"title: 顺平县开展“无烟佳节 与爱同行”主题宣传活动 content: ""; 控烟是创建省级卫生县城常抓不懈的一项重要工作。为营造元旦、春节“两节”无烟氛围，1月31日，顺平县卫生健康局、县爱卫办组织中医医院、疾控中心在方通超市广场开展以“无烟佳节 与爱同行”为主题的控烟宣传活动。 ""; 活动通过健康咨询、发放控烟戒烟宣传品、摆放宣传展板、悬挂条幅等多种形式进行宣传，同时，向居民群众讲解吸烟和二手烟的危害，传播戒烟小技巧，倡导过节不吸烟、不敬烟、不送烟、拒绝二手烟的健康理念。活动期间，共发放《控烟手册》600余册，控油壶150余把，海报100余张，手提袋300余个，其它控烟宣传品250余份，为群众提供健康咨询200余人次。 此次活动，进一步引导了群众践行文明健康生活方式，使更多人认识到烟草对健康的危害，对“吸烟”和“被动吸烟”说不，共创共享无烟环境，积极营造了优美、和谐、共度无烟健康佳节的社会氛围!",微信,顺平县电商公共服务中心,2024-01-31 22:12:40,http://mp.weixin.qq.com/s?__biz=MzAxMzU0MDIyNg==&mid=2247489609&idx=1&sn=66d1c81d72519ecd86f02e9fda684885&chksm=9ba056a4acd7dfb2ed3c177bdad601a0c7739b76e111d5a3409c7003816ea071c4abc5a5e9c2#rd,未知,控烟、控烟戒烟、戒烟,正面,未知
2024010135111,深入推进健康安福行动 | 无烟佳节 与爱同行,"title: 深入推进健康安福行动 | 无烟佳节 与爱同行 content: ""; 为进一步增强广大居民的健康意识，积极响应国家关于公共场所禁烟的号召，引导居民践行文明健康绿色环保生活方式，营造“春节”期间无烟氛围。1月30日上午，县卫健委协同县平都镇、县人民医院、县疾控中心在文塔社区，共同开展“无烟佳节 与爱同行”主题宣传活动。 ""; 活动中，县人民医院专职医生通过生动的案例和数据，详细阐述了吸烟对身体健康的影响，向居民普及了戒烟的方法和技巧，讲解了二手烟的危害。鼓励大家积极参与到禁烟控烟活动中来，主动做控烟宣传者和倡导者。过节不吸烟、不敬烟、不送烟，“对二手烟说不”，共度无烟健康佳节。 ""; 讲座结束后，禁烟志愿者发放了各种健康宣传折页300余份。县人民医院医务人员进行了现场义诊，接受群众有关戒烟、呼吸道疾病防治等健康知识咨询。共同营造无烟、健康的生活环境。 ""; — END — 终审：曾超 复审：刘南虹 编辑：杨玉平 来源：健康安福（转载需注明） ""; 「在看的，麻烦点一下再走",微信,健康安福,2024-01-31 22:11:59,http://mp.weixin.qq.com/s?__biz=MzIyMjIzOTU2MQ==&mid=2650983597&idx=1&sn=d6ad82dcb89d33cda4542850cf6f2e6f&chksm=f3c6e28bc4b16b9d43840dfb7311705c998199a61b71df6553bea0e924d3f13bfa6a10f5b861#rd,未知,戒烟、控烟,正面,未知
