id,title,contents,platform,author,published_at,url,region,hit_words,polarity,classification
202401011,“听”取未成年人 保护的声音,title: “听”取未成年人 保护的声音 summary: 全媒体记者/贺天鸿）近日，炎陵县人民检察院就关于督促相关部门进一步加强未成年人控烟工作召开听证会，会议邀请人民监督员、听证员以及县烟草专卖局、市场监督管理局、教育局、公安局等单位代表参加。 content: 株洲日报讯（全媒体记者/贺天鸿） 近日，炎陵县人民检察院就关于督促相关部门进一步加强未成年人控烟工作召开听证会，会议邀请人民监督员、听证员以及县烟草专卖局、市场监督管理局、教育局、公安局等单位代表参加。 近期，炎陵县人民检察院通过调研摸底发现，辖区内部分中小学周边的商铺普遍未在显著位置设置禁止向未成年人销售香烟标志，还存在向未成年人出售卷烟、无烟草专卖零售许可证向未成年人出售电子烟等违法行为。在校园周边违规售烟侵害了不特定未成年人的公共利益，相关部门存在监管不到位的问题。为此，炎陵县人民检察院就建议相关部门严厉查处违法向未成年人销售烟草制品的行为、加强各部门协作配合共同履职等听证事项召开听证会。 听证会上，承办检察官介绍了案件基本情况和需要听证的问题，并书面展示了公共利益被侵害的证据，阐述了检察机关召开此次听证的目的。 随后，相关部门结合履职情况对听证问题进行了说明，并就如何加大对烟草零售点和在校学生的宣传教育力度、加强未成年人禁烟和规范电子烟管理等提出了意见建议。另外，参会各方一致认为，各主管部门应齐抓共管，加强对学生、家长的宣传力度，加大违规售卖烟草行为处罚力度。 听证会后，炎陵县人民检察院组织各相关部门召开磋商会，就联合印发《关于建立炎陵县保护未成年人免受烟草侵害工作协作配合机制的实施意见》征求了意见。,株洲日报,未知,2024-01-31 00:00:00,http://zzrb.zznews.gov.cn/content/202401/31/c1656098.html,未知,控烟,中性,未知
2024010125,"提升群众满意度丨改善就医环境,创建无烟医院","title: 提升群众满意度丨改善就医环境,创建无烟医院 summary: 提升群众满意度丨改善就医环境,创建无烟医院为进一步提高医患对烟草危害的认识,改善就医环境和诊疗服务,营造一个无烟、清洁的健康环境,文登区宋村中心卫生院近期开展无烟医院宣传活动。 content: 为进一步提高医患对烟草危害的认识,改善就医环境和诊疗服务,营造一个无烟、清洁的健康环境,文登区宋村中心卫生院近期开展无烟医院宣传活动。 在医院的公共区域均设置了禁烟标识牌、无烟医院标识牌,号召全院职工参与到活动中去。要求大家积极戒烟的同时也劝阻他人吸烟,实现院内全面禁烟,创造干净整洁无烟的医疗环境。同时,医院通过电子屏、微信公众号平台等方式进行广泛宣传,加大无烟环境创建力度,营造人人知晓、人人参与控烟行动的良好氛围,提示大家要认识到烟草对健康和环境的威胁,倡导健康生活。 接下来,文登区宋村中心卫生院将持续开展无烟医院创建活动,把控烟纳入日常工作中,贯穿每一个诊疗过程,努力为大家创造一个“无烟、文明”的医疗环境,不断提升群众的满意度。 (刘青)",齐鲁晚报,未知,2024-01-31 00:00:00,http://epaper.qlwb.com.cn/qlwb/content/20240131/ArticelW02012SA.htm,未知,戒烟、控烟,正面,未知
2024010117,“无烟佳节”广场咨询活动举办,title: “无烟佳节”广场咨询活动举办 summary: 记者王婕妤实习生李东镁通讯员刘晨曦）为提高居民群众控烟意识，共同营造要年味不要烟味的健康佳节氛围，引导群众践行文明健康绿色环保的生活方式，昨天。江苏省健康教育协会、江苏省疾控中心、南京市疾控中心、鼓楼区卫健委、鼓楼区热河南路街道联合开展无烟佳节与爱同行广场咨询活动。 content: 本报讯（记者 王婕妤 实习生 李东镁 通讯员 刘晨曦） 为提高居民群众控烟意识，共同营造“要年味不要烟味”的健康佳节氛围，引导群众践行文明健康绿色环保的生活方式，昨天，江苏省健康教育协会、江苏省疾控中心、南京市疾控中心、鼓楼区卫健委、鼓楼区热河南路街道联合开展“无烟佳节 与爱同行”广场咨询活动。 省健康教育协会烟草危害控制专委会主委、省疾控中心健康教育所副所长曲晨表示：“春节期间、阖家欢乐，老人小孩齐聚一堂，更应该营造无烟、清新的居家环境，这关乎我们自己和身边每一位家人、朋友的健康。” 市疾控中心健康教育科科长陈旭鹏呼吁：“亲朋好友、礼尚往来，往往是我们中国人欢度新春的传统。但礼物应该表达的是心意、是祝福，送出的最好是健康、是祝愿。遏制烟草的流行重要一点就是改变社会风气，过节不送烟、见面不敬烟，不在公共场所吸烟，从你从我、大家一起做起。” 活动现场，南医大二附院、南京市第二医院戒烟门诊专家为居民们提供戒烟咨询，鼓楼区社区卫生服务中心医务人员开展慢性病义诊，免费血压、血糖检测等服务。,南京日报,未知,2024-01-31 00:00:00,http://njrb.njdaily.cn/njrb/html/2024-01/31/content_55_135494.htm,未知,控烟、戒烟,正面,未知
20240101110,学校周边控烟不应有“隐秘角落”,title: 学校周边控烟不应有“隐秘角落” summary: 学校周边控烟不应有隐秘角落北京市控烟协会发布最新调查结果显示，保护未成年人远离烟草危害的相关工作仍有痛点问题需要解决。根据《北京市控制吸烟条例》规定，幼儿园、中小学校、少年宫及其周边一百米内禁止设置烟草制品销售网点。校园周边除了容易监控的售烟点以外，还有很多本不该销售烟草的小抽屉存在。 content: 北京市控烟协会发布最新调查结果显示，保护未成年人远离烟草危害的相关工作仍有痛点问题需要解决。根据《北京市控制吸烟条例》规定，幼儿园、中小学校、少年宫及其周边一百米内禁止设置烟草制品销售网点。但记者在实际调查中发现，目前本市不少学校百米范围内仍有售烟点。校园周边除了容易监控的售烟点以外，还有很多本不该销售烟草的“小抽屉”存在。（1月19日《北京日报》） 烟草制品对未成年人的危害是巨大的。未成年人的身体正处于生长发育阶段，烟草中的有害物质对他们的危害远甚于成年人。长期吸烟不仅会影响未成年人的呼吸系统和循环系统功能，还会增加他们罹患各类疾病的风险，甚至影响他们的智力和心理发育。保护未成年人免受烟草伤害，是我们义不容辞的责任，要实现这一目标，就必须从源头上切断未成年人的烟草来源。校园周边环境的净化工作尤为重要。学校是学生日常活动的主要场所，周边环境的健康与否直接关系到学生的身心健康。禁止未成年人吸烟，校园周边不得设置烟草销售网点，既是保护未成年人的现实需求，也是法律明确规定的刚性要求。未成年人保护法规定，学校、幼儿园周边不得设置烟、酒、彩票销售网点；禁止向未成年人销售烟、酒、彩票或者兑付彩票奖金。烟草专卖法明确，国家和社会加强吸烟危害健康的宣传教育，禁止或者限制在公共交通工具和公共场所吸烟，劝阻青少年吸烟，禁止中小学生吸烟。 然而，现实中却总有一些不法商贩为了谋取私利，置未成年人的健康于不顾，公然或变相地向他们销售烟草制品。在一些地方学校周边，依然能够找到销售烟草的店铺。除了这些显而易见的售烟点外，市面上还隐藏着许多不易被察觉的卖烟“小抽屉”。这些渠道往往更加隐蔽、难以发现，因此也更容易成为未成年人获取烟草的“温床”，时刻诱惑着好奇心强、自控力弱的未成年人。他们的行为不仅违反了相关法律法规，更是对未成年人健康权利的极大侵害。 这些“隐秘角落”的存在，暴露出我们在控烟工作上的诸多漏洞。相关各方必须立即行动起来，采取有效措施，彻底铲除这些校园周边控烟的“隐秘角落”。 各地有关部门应加大执法力度，对校园周边的售烟点进行严格监管。一旦发现违法行为，应立即予以取缔，并对相关责任人进行严厉处罚，以儆效尤。同时，还应完善相关法律法规，提高违法成本，从根本上遏制不法商贩的侥幸心理。 学校和家长要承担起相应的责任。学校应加强对学生的控烟教育，让他们认识到吸烟的危害，提高自我保护意识。家长则应以身作则，身体力行贯彻家庭教育促进法等相关法律法规，为孩子树立良好的榜样，密切关注孩子的行为变化，一旦发现他们有吸烟倾向，应及时进行干预和引导，促进未成年人健康成长。 全社会也应积极参与到控烟行动中来。媒体应充分发挥舆论监督作用，对违法售烟行为进行曝光。志愿者和社区组织可以定期开展控烟宣传活动，提高公众的控烟意识和参与度。只有形成全社会共同参与的控烟氛围，才能真正做到让未成年人远离烟草。,民主与法制时报,王琦,2024-01-30 00:00:00,http://e.mzyfz.com/paper/2172/paper_58227_11976.html,未知,控烟,中性,未知
2024010174,武进区开展“无烟佳节与爱同行”控烟活动,title: 武进区开展“无烟佳节与爱同行”控烟活动 summary: 自1月22日起，武进区卫健局组织各属地医疗卫生机构走进辖区各大校园，利用中小学放假前最后一节课，开展无烟佳节与爱同行控烟活动。共同欢度无烟健康佳节。 content: □本报通讯员 杭云 自1月22日起，武进区卫健局组织各属地医疗卫生机构走进辖区各大校园，利用中小学放假前最后一节课，开展“无烟佳节与爱同行”控烟活动。 武进区湖塘镇马杭社区卫生服务中心的医务人员通过PPT讲解、现场答题互动等寓教于乐的宣传形式，科普烟草烟雾和电子烟危害，引导学生充分认识烟草危害，了解控烟核心知识，帮助青少年树立“拒吸第一支烟，做无烟新一代”的理念，并鼓励广大青少年成为学校、家庭控烟监督员，共同欢度无烟健康佳节。,常州日报,未知,2024-01-30 00:00:00,http://epaper.cz001.com.cn/czrbpaper/pc/con/202401/30/content_110834.html,未知,控烟,正面,未知
2024010183,餐厅控烟怎么做？落实属地管理者主体责任,title: 餐厅控烟怎么做？落实属地管理者主体责任 summary: 餐厅控烟怎么做？烟草危害是当今世界最严重的公共卫生问题之一，吸烟的危害虽然已是老生常谈，可禁烟的理念却未达到深入人心的程度，生活中在公共场所吸烟的现象仍较普遍。每个公民都应当参与到控烟行动中，该劝阻的就劝阻，该举报的就举报。 content: □石榴云/新疆日报记者 郭倩 网友“蔡蔡”在石榴云12345问政平台“两会专区”留言：在餐厅吃饭，不时能碰到在室内抽烟的人，餐厅服务员对此只是简单劝导，一些餐厅里甚至连禁止吸烟的标志也没有在醒目处张贴，希望有关部门加大监督以及处罚力度，真正落实室内公共场所全面禁烟。一个小建议：赋予餐饮场所经营者劝诫权，对二手烟制造者可依规礼送出店。 丁桂凤（自治区政协委员，乌鲁木齐市妇幼保健院院长）：支持“蔡蔡”的观点，赞成赋予劝诫权的建议。我认为不仅仅是在餐厅，只要是在公共场所，对于吸烟的人，属地管理者都应提前告知，如果遇到不配合的，可请对方离开。吸烟，除了对吸烟者本身有伤害，更多伤害到的是不吸烟人群。面对此类情况，大家不妨大胆说“不”。 烟草危害是当今世界最严重的公共卫生问题之一，吸烟的危害虽然已是老生常谈，可禁烟的理念却未达到深入人心的程度，生活中在公共场所吸烟的现象仍较普遍。我一直从事母婴健康领域的工作，每天面对妇女儿童尤其是孕产妇。对于这类人群来说，二手烟的危害更大。解决这一问题，现实层面，需要更具可行性和针对性的制度，动员全社会广泛参与，个人、单位、社会共同治理，落实管理者的主体责任，这是落实控烟的重要举措。同时，政府层面，积极开展控烟宣传教育，提高公众对烟草危害的正确认识，促进形成不吸烟、不敬烟、不劝烟的社会风气等。不在公共场所吸烟，应成为社会高度倡导的公共道德，事关社会文明和国民素养。每个公民都应当参与到控烟行动中，该劝阻的就劝阻，该举报的就举报。,新疆日报,未知,2024-01-30 00:00:00,http://xjrb.ts.cn/xjrb/20240130/220969.html,未知,控烟,正面,未知
20240101143,健康过节，从“无烟”环境开始,title: 健康过节，从“无烟”环境开始 summary: 健康过节，从无烟环境开始1月3日，国家卫生健康委办公厅发布关于开展无烟佳节与爱同行活动的通知，进一步推动控烟工作开展，引导群众践行文明健康绿色环保生活方式，营造元旦、春节两节无烟氛围。与自己签订一份戒烟承诺书，留一份给支持者，更好地获得别人的鼓励和督促。 content: 1月3日，国家卫生健康委办公厅发布关于开展“无烟佳节 与爱同行”活动的通知，进一步推动控烟工作开展，引导群众践行文明健康绿色环保生活方式，营造元旦、春节“两节”无烟氛围。 1月18日，咸宁市爱国卫生运动委员会办公室向广大市民发出《“无烟佳节 与爱同行”倡议书》，呼吁广大市民走亲访友、春节聚会，不吸烟、不敬烟、不劝烟，“对二手烟说不”，主动做控烟宣传者和倡导者，健健康康过佳节！ 1 吸烟对健康有什么影响？ 吸烟成瘾，又称烟草依赖，不是行为习惯，而是一种慢性疾病。世界卫生组织已将其列入国际疾病分类。 烟草中的尼古丁是一种高度成瘾性物质，也是很多“老烟枪”长时间吸烟的重要原因。尼古丁被吸入人体后，会在10秒钟内随血液进入大脑中枢，刺激多巴胺急剧、短期释放。多巴胺能让人产生愉悦感，一旦停止摄入尼古丁，这种作用很快会消失，使吸烟者无法继续体验愉悦感，并出现戒断反应和对吸烟的渴求。 除了尼古丁以外，烟草中还含有4000多种化学成分，目前已知其中至少有 250种是有害物质、50多种是致癌物质。吸烟对健康的影响主要有以下几方面。 首先，吸烟可能致癌。吸烟是肺癌的重要致病因素之一，吸烟者患肺癌的风险是不吸烟者的十倍，甚至更多。 其次，吸烟会导致患心脑血管疾病的概率增加，如冠心病、高血压、脑血管病等都是吸烟者的高发疾病。 第三，吸烟是慢性支气管炎、肺气肿和慢性气道阻塞的主要诱因之一。 第四，吸烟可引起消化系统疾病。烟草中的烟碱可使幽门括约肌张力降低，从而导致胃酸反流，严重时会引起消化系统溃疡。 最后，吸烟对女性的危害甚至高于男性。吸烟可导致女性出现月经失调、雌激素水平低下和骨质疏松等病症，孕妇吸烟还可能会引起自发性流产。 2 如何识别烟草成瘾？ 烟草成瘾是由长期使用尼古丁导致的，主要有以下表现： 首先，吸烟量越来越大。多数吸烟者在首次吸烟时不能适应烟草的味道，故在开始吸烟的一段时间内吸烟量并不大，但随着吸烟时间的增加，尼古丁的耐受程度也增加了，吸烟量逐渐增多，重度吸烟者甚至每天吸烟几十支。 其次，有明显的戒烟后症状。吸烟者减少或停止吸烟，就会出现一些戒烟后症状。这些症状主要有特别想吸烟、精神上焦虑不安、注意力不能集中，有的戒烟者还会出现食欲增加的状况，进而导致体重增加。 最后，自己不能控制吸烟行为，对吸烟有强烈渴望。多数烟草成瘾者知道吸烟的危害，且自身都愿意戒烟，至少是想减少吸烟量的。但很多人在多次尝试后都以失败告终。一些吸烟者在患病后仍不能控制自己的吸烟行为，无法彻底戒烟，还有部分吸烟者在戒烟后会复吸。 烟草依赖分为躯体依赖和心理依赖：躯体依赖，指吸烟者在停止吸烟或减少吸烟量后，出现一系列难以忍受的戒断症状，包括烦躁、焦虑、不安、头痛、注意力不集中、睡眠障碍等。心理依赖又称精神依赖，表现为主观上强烈渴求吸烟。躯体依赖和心理依赖无法完全割裂开，往往同时存在，影响戒烟成功率。 3 怎样应对烟草成瘾？ 吸烟一旦成瘾，就会严重损害健康，建议尽早采取应对措施。 首先，让戒烟者充分认识吸烟的严重危害，清楚戒烟的益处，解除他们的犹豫心理，增强自我戒烟动力。戒烟时间越长，给健康带来的有益变化越明显；戒烟时间越早，对个人的健康越有利。 比如，从30岁开始戒烟，预期寿命能增加约10年；从40岁开始戒烟，预期寿命能增加约9年；从50岁时开始戒烟，预期寿命能增加约6年；从60岁开始戒烟，预期寿命能增加约3年等。戒烟还会减少家庭内儿童对二手烟的吸取，降低相关儿童疾病的发生风险。 其次，选择合适的戒烟方法和步骤。戒烟是一个过程。戒烟前，戒烟者可设定一个具体的戒烟日期，为自己的戒烟行动做好准备，并促进自己采取行动，从开始准备戒烟到设定的戒烟日，建议为4周，最好为2周。 开始戒烟后建议采用逐渐减量戒烟法或立即完全戒烟法。逐渐减量戒烟法是逐渐减少吸烟量直到完全停止吸烟，戒烟过程相对舒适，戒断症状可能较轻。立即完全戒烟法相对干脆，一次性立即戒烟，缩短了戒烟准备时间，戒烟者可以更早成为一个不吸烟者，但突然戒烟可能会导致戒断症状加重。 另外，在戒烟过程中要尽量转移注意力，减少吸烟的吸引力。可以吃一些健康的食物，多喝水或健康果汁；适当增加运动量，做一些放松练习，用深呼吸来增加大脑的氧气量；保持平静的心态等，这些非常有助于戒烟。 第三，使用药物帮助戒烟。戒烟药物主要包括尼古丁透皮贴剂、尼古丁口香糖、尼古丁鼻喷剂等尼古丁替代产品。 使用戒烟药物有三个优势，一是可以使戒烟者在戒烟期间缓解对吸烟的强烈心理渴求，从而避免复吸；二是可以降低戒烟者每次吸烟后的愉悦感，戒烟后吸烟的诱惑降低；三是戒烟药物中的尼古丁替代产品虽然含有尼古丁，但不会成瘾。尼古丁替代产品通过一种安全、不成瘾的方式向戒烟者提供小剂量尼古丁，取代烟草中的尼古丁，从而缓解戒烟后因体内尼古丁缺乏引起的戒断症状。 第四，烟草成瘾比较严重，在不能自己戒烟的情况下，最好去专业机构咨询和接受治疗。 部分吸烟者可依靠毅力戒烟。对烟草依赖患者来说，戒烟门诊有助于提高戒烟成功率。医生会根据临床戒烟指南推荐的方法，制订个性化戒烟治疗方案，包括戒烟劝诫、戒烟药物治疗等多种干预方法。医生还会定期跟踪、随访戒烟情况，帮助解决戒烟过程中遇到的问题。 不要恐惧戒烟药物。吸烟成瘾是一种慢性疾病，使用药物是非常正规的方法。有充足证据表明，戒烟药物可以缓解戒断症状，提高戒烟成功率。不论是“老烟枪”，还是成瘾不久的人，戒烟前都需要做一些准备工作，帮助戒烟取得成功。 链接： 戒烟要做哪些准备？ 1、确定戒烟日，选择一个重要的日子，从这一天开始一口烟也不要再吸。 2、创造一个无烟环境，扔掉烟、打火机、烟灰缸等物品。 3、回顾以往的戒烟经历，找出哪些有助于戒烟，哪些易导致复吸。 4、寻求帮助，告诉家人、朋友、同事自己已决定戒烟，取得他们的理解和支持。 5、与自己签订一份戒烟承诺书，留一份给支持者，更好地获得别人的鼓励和督促。,咸宁日报,本报记者　 李嘉,2024-01-30 00:00:00,http://szb.xnnews.com.cn/xnrb/html/2024-01/30/content_705009.htm,未知,控烟、戒烟,中性,未知
20240101135,77.4%受访者支持电子烟纳入禁烟法规,title: 77.4%受访者支持电子烟纳入禁烟法规 summary: 记者蒋若静）结合近期本市公共场所控烟暗访结果，近日，市爱卫办在全市范围内开启控烟督导检查。针对无烟街区设置问题，北京市民对多项措施持支持态度：87.2%的受访者赞同在办事机构的室外公共区域设置吸烟区，90.2%赞同在各单位的入口处设置灭烟处，78.0%赞同在城市街区广场的开阔位置设置吸烟区。 content: 本报讯（记者 蒋若静）结合近期本市公共场所控烟暗访结果，近日，市爱卫办在全市范围内开启控烟督导检查。昨日，北京青年报记者跟随北京市冬季控烟督导检查组工作人员前往西城区多个点位进行督导检查，检查地点涉及宾馆、写字楼、医疗机构、党政机关、餐馆、KTV、网吧、公交枢纽八类场所。 当日下午，督导检查组工作人员前往位于西城区新文化街的亚朵酒店，重点检查了吸烟标识设置情况、制度设计和管理情况。北青报记者在现场看到，酒店内的前台、餐吧、楼道、电梯间、厕所等位置都张贴了明显的禁止吸烟的标识，上面还有控烟投诉举报电话。在酒店外侧设有专门的吸烟区。 位于复兴门大街的凯晨大厦有6000余名办公人员，控烟工作情况如何？督导检查组对该写字楼的楼道、厕所、办公区、地下停车场等空间均进行了仔细查看，未发现违法吸烟情况。该写字楼南侧、北侧设置了三个吸烟区。 市卫健委相关负责人表示，下一阶段，本市将继续深入推进健康北京行动，严格落实《北京市控制吸烟条例》，加强控烟执法，积极开展戒烟服务，深入推进无烟场所建设，进行更有针对性的控烟宣传，倡导健康文明生活方式，全社会形成合力，共同打造无烟北京。 近期，北京市卫生健康委发布了第五次成人烟草流行调查数据结果，15岁及以上成人吸烟率为19.9%，与2021年持平。对于电子烟，调查结果显示，有77.4%的受访者表示支持将电子烟纳入现有禁烟法规。 调查结果显示，成人吸烟率降速减缓，已到达了平台期，距离健康北京行动提出的“到2030年，成人吸烟率低于17%”目标仍有一定差距。其中男性吸烟率36.6%，比2021年上升了0.6个百分点，女性吸烟率2.2%，比2021年下降了0.5个百分点。 本次调查显示，家庭二手烟暴露率为29.6%，二手烟暴露情况比2021年并无明显改善。除室内工作场所、中小学校、政府大楼的二手烟暴露率有所下降外，餐馆、大学、医疗机构、公共交通工具的二手烟暴露率则与2021年基本持平。 此外，电子烟并未获得北京市居民额外的青睐。调查中，曾经使用过电子烟的比例由2021年的7.4%下降至6.6%，现在使用电子烟的比例则由3.2%下降至2.2%；另有77.4%的受访者表示支持将电子烟纳入现有禁烟法规。 针对无烟街区设置问题，北京市民对多项措施持支持态度：87.2%的受访者赞同在办事机构的室外公共区域设置吸烟区，90.2%赞同在各单位的入口处设置灭烟处，78.0%赞同在城市街区广场的开阔位置设置吸烟区。,北京青年报,未知,2024-01-30 00:00:00,http://epaper.ynet.com/html/2024-01/30/content_430509.htm,未知,控烟、戒烟,中性,未知
20240101118,东城区持续开展室内控烟执法检查工作,title: 东城区持续开展室内控烟执法检查工作 summary: 东城区持续开展室内控烟执法检查工作春节将至，亲朋好友聚会增多。为进一步推动控烟工作，东城区持续加大对商务楼宇、商场超市、餐饮单位等室内公共场所的控烟执法检查力度，确保公共场所无烟环境得到有效维护，守护市民群众的身体健康和财产安全。 content: 春节将至，亲朋好友聚会增多。为进一步推动控烟工作，东城区持续加大对商务楼宇、商场超市、餐饮单位等室内公共场所的控烟执法检查力度，确保公共场所无烟环境得到有效维护，守护市民群众的身体健康和财产安全。 近日，记者跟随建国门街道综合行政执法队的队员们来到中粮大厦，对大厦的控烟工作进行突击检查。在检查中，执法队员分别对逃生通道、楼道、卫生间、电梯间等区域进行逐一检查，未发现吸烟人员。“大家现在都有不在公共场所吸烟的观念了，生怕‘二手烟’影响他人。”大厦物业管理工作人员介绍，近年来，通过全社会的持续努力，室内公共场所的无烟环境得到了显著改善，市民对控烟工作的支持度不断提高，吸烟行为明显减少。 在簋街，执法人员在对一家因控烟工作不力而被处罚的餐饮单位进行复查时发现，该餐饮单位已整改到位，只要发现顾客吸烟现象，店员就会第一时间上前劝阻。对于个别不听劝阻的人员，餐饮单位将及时向执法部门报告。 在对宾馆酒店经营单位控烟情况进行检查时，安定门街道综合行政执法队队员将提示“挂在嘴边”，要求经营者在旅客办理登记入住过程中明确室内禁止吸烟。据执法人员介绍，严格室内公共场所控烟工作，一是防止“二手烟”影响其他人员身体健康，二是防止因疏忽大意酿成火灾。 据了解，东城区各街道综合行政执法队利用微信公众号、商户管理群等媒介，结合“城管进社区”“城管开放日”等活动，大力开展控烟宣传工作。执法部门提示广大市民，吸烟有害健康，请勿在室内公共场所尤其是幼儿园、中小学、少年宫、儿童福利机构等以未成年人为主要活动人群的场所吸烟，努力创造一个无烟、健康的环境。 □本报记者 边磊 通讯员 刘满清,劳动午报,未知,2024-01-30 00:00:00,http://ldwb.workerbj.cn/content/2024-01/30/content_138003.htm,未知,控烟,中性,未知
20240101126,乐亭邀您一起过无烟佳节,title: 乐亭邀您一起过无烟佳节 summary: 乐亭邀您一起过无烟佳节本报讯据乐亭发布消息，唐山乐亭县爱国卫生运动委员会办公室发出无烟佳节与爱同行控烟倡议称，为进一步推动全县无烟佳节与爱同行活动开展，巩固提升创卫成果，引导群众自觉践行文明健康绿色环保生活方式。 content: 本报讯 据乐亭发布消息，唐山乐亭县爱国卫生运动委员会办公室发出“无烟佳节 与爱同行”控烟倡议称，为进一步推动全县“无烟佳节 与爱同行”活动开展，巩固提升创卫成果，引导群众自觉践行文明健康绿色环保生活方式，给节日期间营造一个无烟、清洁、健康的生活环境，乐亭县爱卫办发出如下倡议： 做好自己健康的第一责任人。认识到吸烟对自己的健康和对他人的影响，增强禁烟意识，提高自我控制能力，共同营造一个远离烟草的环境。 树立无烟党政机关健康形象。领导干部和公职人员应以身作则，支持无烟党政机关的建设，遵守公共场所的行为规范，不在公共场所吸烟，并主动劝阻他人吸烟。 倡导无烟春节新风尚。在节假日期间，不送烟、不敬烟、不劝烟，以健康的方式过大年。如果遇到他人吸烟，应友好地提醒和劝诫对方，共同推进无烟健康文化的普及。 争做无烟新一代。广大青年和学生要成为禁烟的表率，学习和传播禁烟知识，让家人和同学了解吸烟的危害，并鼓励他们远离烟草。 尽早科学戒烟莫迟疑。利用各种平台和载体推广戒烟知识，增强自我保健意识，主动寻求戒烟的帮助，并成功戒除。 让我们共同行动起来，从自身做起，从现在做起，倡导文明健康生活方式，拒绝烟草危害，欢度无烟佳节。请大家积极参加扫码签字支持倡导！,燕赵都市报,未知,2024-01-30 00:00:00,http://yzdsb.hebnews.cn/pc/paper/c/202401/30/content_216652.html,未知,控烟、戒烟,中性,未知
