id,title,contents,platform,author,published_at,url,region,hit_words,polarity,classification
202401011,癌症有多少可预防？,title: 癌症有多少可预防？ content: 美国癌症协会曾发布的“癌症一级预防计划”（以下简称计划）指出，大部分癌症可以预防，很多危险因素是可控的，并呼吁各界携手推进癌症防控大计。癌症的一级预防在临床实践中非常重要，尤其是对于有家族史、既往不良嗜好等高危因素者，更应多加注意。”该计划对每种可预防性危险因素的致癌机制进行了阐述，具体来说，主要有以下8个原则： 1.戒烟，防癌第一要务“癌症一级预防”的第一项措施即“戒烟”，并强调“戒烟对任何年龄阶段的人都有益”。统计发现，1991年以来，美国癌症死亡率降低了26%，其中一半以上归因于吸烟率的下降。报告明确指出，烟草及烟草制品是导致癌症的首要危险因素，尤其是肺癌。国际癌症研究机构认定吸烟（包括二手烟）中所含的致癌物质有70种多种。专家表示：“吸烟可导致口腔黏膜病变、增加肺部肿瘤发生率已是不争的事实。近年流行病学调查显示，长期吸烟可能是促发自身免疫病的危险因素之一。” 近年来，我国也在大力推行控烟行动，在部分大城市，如北京、上海、深圳和西安等城市都在大力开展烟草控制措施。不过，我国是世界上烟民最多的国家，烟民人口基数庞大，资料显示，我国现有烟民人数达3.5亿，占了全世界烟民总数的1/3，被动吸烟人数更是高达5.4亿。相对于我国庞大的吸烟人群，控烟行动可谓任重道远。专家建议：戒烟控烟首当其冲2.限酒，能不喝就不喝 早在1987年，国际癌症研究机构就将酒精归为致癌物。酒精致癌，主要是通过乙醇的代谢产物乙醛，乙醛是一种致癌物，它会导致DNA和蛋白质损伤、抑制DNA修复、改变代谢效应、升高激素水平等，进而诱发癌症。此外，有些酒类在生产过程中也可产生致癌成分。酒精是至少7种癌症（口腔癌、口咽癌、喉癌、食管癌、肝癌、大肠癌、乳腺癌）的危险因素。来自世界癌症基金研究会的数据显示，每天饮酒量超过两个单位时（以125毫升、酒精浓度为8%的酒为一个单位），能使患肠癌的几率增加18%、患肺癌的几率增加20%。 然而，我国公众对饮酒危害的认知并不够。根据世界卫生组织报告指出，中国人均酒精消费量从2005年的4.1升，增长到2016年的7.2升，近乎翻了一倍；中国人终身戒酒率却从2005年的50.9%下降到2016年的42.1%。研究数据显示，戒酒20年后，患这些恶性肿瘤的风险将大大降低，与从不喝酒的人相差无几。专家建议：控制饮酒势在必行3.控体重，肥胖也会致癌 计划指出，超重肥胖与多种癌症发病密切相关，如食管癌、胃癌、肝癌、肾癌、肠癌等。通过调整饮食结构、增加体育运动可以扭转体脂过高的趋势，是癌症初级预防的有效措施。计划同时指出，蔬菜和水果中含有大量防癌物质，包括维生素、植物化学物质和膳食纤维；加工肉类（如烧烤、熏肉、香肠等）被列为致癌物质，主要是导致结直肠癌风险增加。除了饮食，适当的有氧运动也必不可少。 体脂率是反应体重肥胖的重要指标。正常成年人的体脂率分别是男性15%~18%、女性25%~28%。体脂率过高，体重超过正常值的20%以上就可视为肥胖。体脂率的计算可通过以下两个公式：①体重指数BMI=体重（公斤）÷（身高×身高）（米）②体脂率：1.2×BMI+0.23×年龄-5.4-10.8×性别（男为1，女为0）。专家建议：多吃果蔬，限制肉类，控制体重。4.防感染，消除病原体病原体通过直接、间接或慢性的免疫刺激效应致癌。据临床统计，目前共有11种病原体被国际癌症研究机构认定为有致癌性，具体包括：幽门螺旋杆菌（诱发胃癌）、乙肝病毒（即HBV，诱发肝癌）、丙肝病毒（诱发肝癌）、人乳头状瘤病毒（即HPV，诱发宫颈癌、阴道癌、肛门癌）、EB病毒（诱发霍奇金淋巴瘤、鼻咽癌等）、人类免疫缺陷病毒（诱发T细胞淋巴瘤）等。计划指出，预防致癌病原体传播和扩散的最有效措施是接种疫苗，积极接种HPV疫苗和HBV疫苗，可以大大减少宫颈癌和肝癌的发病隐患。此外，积极地抗感染治疗、对捐献血液和器官进行警惕性筛查等措施也很重要。专家建议：治疗感染，注射疫苗。5.防晒，紫外线会诱发皮肤癌 太阳光对人体健康是一把双刃剑。短时间晒太阳对健康有益，可增加体内维生素Ｄ含量，但如果晒的时间太长（阳光强烈时在1小时以上），则会增加皮肤癌发病风险。计划指出，紫外线通过导致DNA损伤及人体其他免疫抑制而致癌。据统计，美国每年平均约有70万人患上皮肤癌，其中50%~70%是因紫外线辐射过量，常见于皮肤恶性黑素瘤、皮肤鳞状细胞癌、皮肤基底细胞癌等。不过专家指出，中国人是黄皮肤，皮肤中色素比白种人要多，这种色素有保护作用，因此中国人患皮肤癌的几率比白种人小得多。但仍建议从事户外工作或长时间暴露在强烈阳光下的人群，应做好防晒，穿防晒衣，佩戴遮阳帽、太阳镜，并谨慎使用室内晒黑设备。专家建议：户外人群，做好防晒。6.防辐射，做CT要当心医用电离辐射通过导致DNA损伤而致癌，是导致多种癌症的危险因素，计划呼吁医生不要滥用CT检查。专家说，在医院的常规检查中，B超、磁共振（MRI）是非电离辐射检查手段，而 X光和 CT 检查，则会产生电离辐射，尤其以CT扫描所产生的辐射剂量最高，远超过常规X光检查，过度使用容易引发癌症。 不过，医生要求进行 CT 检查时，往往怀疑患者发生重大疾病，且没有其他替代检查手段时，才会采用。如果短期内接受过CT检查，应及时告知医生，以免重复检查增加辐射剂量。专家建议：遵从医嘱，该查才查，防辐射不可少。7.远离装修污染 装修污染可以通过破坏呼吸道上皮细胞中的DNA而致癌。临床有研究显示：室内氡暴露浓度增高会增加罹患肺癌的风险。世界卫生组织建议，居住室内氡浓度应&lt;2.7pCi/L。美国国家研究理事会的一项风险评估报告显示：如果将氡的含量降低到4.0pCi/L以下，可以预防3%~4%的肺癌死亡。美国国家氡行动计划要求采取一系列行动来减少由氡引起的肺癌，包括修改各州和地方建筑法规，为测试和降低氡暴露的浓度提供财政支持，促进医疗、公共卫生和儿童保健社区对氡暴露危害的认识。 专家建议：家里房屋装修好之后，常开窗通风、放一些吸收毒气的绿色植物，尽量在房子装修1年后在入住。8.家族有癌症史，一定要定期筛查 癌症的家族性有两种表现，一是多人患不同的癌症，二是一个家族中存在某种癌聚集现象，虽然家族性能够说明癌症具有一定的遗传性，但并不代表所有人都会被遗传，共同的生活环境和生活习惯更容易让家族出现相同的癌症。专家建议：进行合理的相关检测，随着分子检测的不断发展，目前已经能够检测出多种癌基因、抑癌基因和致癌基因。目前，FoundationOneCDx（简称F1CDx）这一准确率高达99%的精准基因检测技术登陆中国，落户广州复大肿瘤医院，给癌症家族史的人群带来福音，所以具有癌症家族史的人也不必慌张，早查早预防改变不良饮食习惯，作息规律，加强体育锻炼，保持良好的心态可以大大降低患癌风险。,知乎,日常小科普,2024-01-31 15:40:28,http://www.zhihu.com/question/388790972/answer/3382522519,未知,戒烟、控烟、戒烟控烟,中性,未知
202401019,一直很好奇，平台的推荐系统是怎么做到完全不推荐控烟相关内容的？,title: 一直很好奇，平台的推荐系统是怎么做到完全不推荐控烟相关内容的？ content: 烟鬼室友走了，熏死了，开窗透个气先。。。个人认为，在我们国家找到能够比烟草课税以外更好更高效的赚取大量军费的方式之前，烟草还会在国内继续长期流行、控烟禁烟的声音将会继续被边缘化，而在这种情况下一些爱玩梗的人甚至还会喊出“你不抽，我不抽，飞机航母谁来修？”的口号。个人的意见，比较狭隘的观点，而且这些观点本身也是建立在梗上面。期待有在这方面了解比较丰富的大佬前来教育。,知乎,路人X,2024-01-31 14:17:48,http://www.zhihu.com/question/642106096/answer/3382419773,未知,控烟,正面,未知
2024010124,稳不住了，网吧还是有些归属感的,title: 稳不住了，网吧还是有些归属感的 content: 在商务楼里面，大楼控烟，只能去楼下抽，所以上班时间烟抽的少，下班回去猛抽,百度贴吧,七个字不信你数,2024-01-27 17:38:00,http://tieba.baidu.com/p/8877887085,未知,控烟,中性,未知
2024010153,平安普惠怀化分公司倡导共建无烟环境，共享健康生活,"title: 平安普惠怀化分公司倡导共建无烟环境，共享健康生活 content: 为进一步提高居民对吸烟危害的认识，增强居民控烟意识，营造健康的无烟环境。近日，平安普惠怀化分公司志愿者们来到怀化市鹤城东家园小区开展“远离香烟，共享无烟环境”的宣传公益活动，向居民讲述吸烟危害健康的相关知识，呼吁大家远离香烟危害，共享无烟环境。 活动现场，志愿者们统一志愿者服装，通过悬挂横幅、设立咨询台、现场解答疑问、发放控烟宣传单、讲解吸烟的危害等多种形式向居民宣传吸烟与吸二手烟的危害。本次活动得到了居民的认可和支持，提高了居民对烟草危害的意识，积极倡导文明健康绿色环保生活方式，以不吸烟、不敬烟等健康行为守护家人健康，大力弘扬健康文化，共享无烟健康环境。&lt;IMAGE SRC=""https://xqimg.imedao.com/18d445b968fdd353fee48709.jpg!custom.jpg"" class=""ke_img"" / “烟草是危害健康的‘第一杀手’。据统计表明，我国每年超过100万人死于烟草引发的各种疾病。这组数据非常触目惊心，我们积极开展远离香烟的宣传公益活动，就是想为烟民朋友们提醒警钟，让更多人也关注到二手烟的危害，要为自己的健康负责，为家人朋友的健康负责，不在公共场所吸烟，尊重他人健康权益，共建无烟环境，共享健康生活”。平安普惠怀化分公司负责人说。 点点微光，聚而成炬；累土不辍，丘山崇成。通过开展禁烟宣传活动，可有效提升广大社区居民的禁烟意识，共同携手打造良好的社会环境，同时为建设文明城市尽一份微薄之力。未来，平安普惠怀化分公司将持续践行企业社会责任，不忘公益初心，传递向善力量。",雪球网,平安普惠担保,2024-01-26 14:01:12,http://xueqiu.com/1733519446/276494330,未知,控烟,中性,未知
20240101136,城门镇持续深化改革 开展党政机关无烟建设工作,title: 城门镇持续深化改革 开展党政机关无烟建设工作 content: 一要提高思想认识，建设无烟党政机关对于树立和维护机关良好形象具有重要意义。各部门要进一步提高对建设无烟党政机关重要性的认识，以对人民群众健康高度负责的态度，认真抓好无烟党政机关建设工作，着力建设无烟机关，对社会各界起到引领示范作用。二要加强组织领导。各部门要建立完善无烟党政机关建设工作机制，明确责任分工，制定实施方案和年度计划。三要广泛宣传动员。各部门积极参与无烟党政机关建设，严格落实无烟党政机关建设有关规定，确保建设工作有效落实，让各部门干部职工高度关注和充分认识吸烟的社会危害性，主动配合开展戒烟、控烟工作，形成了人人支持、人人享有、人人参与的良好舆论氛围。,百度贴吧,草12138,2024-01-19 10:33:00,http://tieba.baidu.com/p/8867673140,未知,戒烟、控烟,中性,未知
20240101148,随县万福店农场：倡导“无烟佳节与爱同行”,title: 随县万福店农场：倡导“无烟佳节与爱同行” content: 马上注册，结交更多好友，享用更多功能，让你轻松玩转社区。 您需要登录才可以下载或查看，没有帐号？加入随论（请注册中文用户名）x 随州论坛讯（通讯员：彭晓东）随县万福店农场近日在全农场范围内开展了一项主题为“无烟佳节与爱同行”的活动，呼吁全场居民共同打造一个无烟的春节。这项活动的发起，旨在进一步提升公众对于吸烟危害的认识，同时鼓励人们采取健康的生活方式，共享幸福无烟的佳节。 万福店农场爱卫办主任表示：“烟草是健康的头号杀手，每年因吸烟导致的相关疾病夺走了无数生命。尤其在春节这样的传统佳节，人们互相敬烟、送烟，实际上是埋下了健康的隐患。我们希望通过这次活动，让全场居民认识到吸烟的危害，过一个清新健康的春节。” 为了使活动深入人心，万福镇卫生院和随县蒲公英万福店社工站联合在街道开展宣传活动。他们通过设立咨询台、发放宣传资料、展示宣传版面等多种形式，向过往居民普及烟草的危害和戒烟的重要性。同时，万福店农场中心学校和中心幼儿园也积极响应，利用班会开展“小手拉大手”活动，引导孩子们从小树立健康观念，用稚嫩的手牵起无烟的明天。 除了现场宣传，各单位还充分利用电子屏等现代传媒手段，滚动播放控烟宣传标语和烟草危害的相关知识，让控烟理念深入人心。 据统计，此次活动共发放宣传资料数千份，覆盖全场数千户家庭。活动期间，许多居民纷纷表示将积极响应号召，不吸烟、不敬烟、不送烟，以实际行动支持“无烟佳节与爱同行”活动。 控烟是一场持久战，需要政府、社区、家庭和个人的共同努力。让我们携手共进，用实际行动为我们的家人、朋友和社区创造一个无烟的环境，让健康成为春节的唯一祝福。,随州论坛,自由如风,2024-01-18 09:09:00,http://www.szbbs.org/thread-1585826-1-1.html,未知,戒烟、控烟,中性,未知
20240101154,哪些因素可能会导致肺癌？,title: 哪些因素可能会导致肺癌？ content: 肺癌是当今社会中最常见的致命癌症之一，其发生率与多种因素相关。少数病例可能由于遗传倾向所致，但大部分肺癌与环境及生活方式因素有密切关系。要想理解导致肺癌的因素，首先需要明白肺癌是源自肺部组织的恶性肿瘤，主要分为小细胞肺癌(SCLC)和非小细胞肺癌(NSCLC)，后者又可细分为肺腺癌、鳞状细胞癌和大细胞癌等。首当其冲的肺癌风险因素是吸烟。烟草中的多种化学物质已被证实具有致癌性，包括焦油、一氧化碳、尼古丁以及多种致癌多环芳烃。烟草烟雾的吸入导致气道和肺泡内的粘膜上皮细胞发生突变，长期积累可形成癌症。吸烟导致的肺癌风险与烟龄、抽烟量成正比关系，即抽得越多、时间越长，患肺癌的风险越高。此外，二手烟暴露也会显著增加非吸烟者的肺癌风险。环境因素也是导致肺癌的一个重要领域。长期暴露于氡气是已知的肺癌风险因素，特别是在矿工中的报道更为突出。而家居环境中的氡气主要来源于含铀的土壤和岩石的自然分解。职业暴露，如长时间接触石棉、砷、铬、镍等也与肺癌风险显著增加相关。城市污染，尤其是由细颗粒物(PM2.5)引起的空气污染，已被识别为肺癌的潜在风险因素。除环境外，生活方式选择也可能与肺癌风险增加有关。这包括不健康的饮食习惯和缺乏运动。研究表明，食用加工肉和红肉过多、膳食中缺乏水果和蔬菜的人群肺癌风险较高。另外，长期饮用含有大量酒精的饮料也可能增加某些类型的肺癌风险。基因因素在肺癌的形成中也不可忽视。具有一定家族史的个体，尤其是那些有一级亲属（父母、兄弟姐妹或子女）患有肺癌的人，他们自己患肺癌的风险也会增加。这种关系可能反映了遗传易感性和共同生活环境的叠加效应。年龄也是决定肺癌风险的一个因素。肺癌在年轻人中较少见，大多数诊断发生在65岁以上的年龄组。这可能是因为肺癌的发展是一个多阶段的过程，需要时间积累足够数量的遗传和环境引起的变化。随着科学的发展，还发现了一些病毒感染，如人类乳头瘤病毒（HPV）与肺癌的发病也存在一定的关联。尽管这种关联性不如其他肿瘤那么强烈，但它提醒我们，在肺癌的发病中可能还有许多不明因素。肺癌的形成是一个复杂、多因素参与的过程。从个体和群体层面出发，降低肺癌风险需要从控烟、改善生活方式、减少职业暴露和环境污染等方面入手。无疑，公共健康政策的实施与科学研究的深入将在预防肺癌这一严肃的公共卫生议题中扮演重要角色。在面临疾病尤其是肿瘤的抗争时，传统治疗方案可能不再奏效，患者及家属的希望往往寄托在新的医疗进展上。在这种情境下，参加临床试验往往成为了一线曙光。临床方案的多样化，如化疗、免疫治疗、靶向药物治疗、单克隆抗体（单抗）、双特异性抗体（双抗）以及崭新的CART细胞回输治疗，为患者提供了更广阔的选择。选择参与临床试验，不仅意味着可能接触到最前沿的治疗手段，同时也带来了实质性的好处。在试验中，肿瘤治疗相关的费用大幅度减免，减轻了患者及家庭的经济负担。参加临床试验的患者还将享有高等级三甲医院的治疗资源，包括由领域内知名专家亲自诊疗，这在常规途径下是难以享受到的优势。此外，入组临床试验的患者通常能通过绿色通道快速入院，省去了漫长的等待时间。此外，患者还可拥有更多的地理选择权，可以选择就近的三甲医院参与临床试验，使得治疗过程更便捷、更贴合个人实际情况。为了帮助有需要的患者了解更多信息，微信公众号“康募家园”提供临床试验咨询及报名服务。患者只需在微信搜索并关注该公众号，即可了解详细的临床试验信息和参与流程，找到适合自己的临床治疗方案，开启治疗的新旅程。,知乎,肿瘤临床,2024-01-17 20:05:57,http://www.zhihu.com/question/629766117/answer/3366199427,未知,控烟,负面,未知
20240101160,回复：南昌大学不禁烟吗？没人管吗？,title: 回复：南昌大学不禁烟吗？没人管吗？ content: 我前几天打了信访科电话咨询校内公共场所控烟问题，刚刚收到回电，学校承诺了一些不够严厉的改进措施（提到了倡议人人都去劝阻不文明吸烟行为），不过至少比什么都没有好吧，我也不奢求能以一己之力推动文明进程太多。,百度贴吧,無疆,2024-01-15 16:46:00,http://tieba.baidu.com/p/8734107980?pn=3,未知,控烟,中性,未知
20240101202,有朋友用过控烟药吗？谈谈感受。,title: 有朋友用过控烟药吗？谈谈感受。 content: 文玩关注我,百度贴吧,手腕上的文玩,2024-01-05 17:56:00,http://tieba.baidu.com/p/8608458888,未知,控烟,中性,未知
20240101213,清淡饮食对戒烟帮助很大,title: 清淡饮食对戒烟帮助很大 content: 吃饭别吃饱，最好少吃肥腻肉类和辛辣 提倡蔬菜为主 杂粮馒头 尤其晚上 对控烟帮助很大,百度贴吧,农夫山泉-～,2024-01-04 18:37:00,http://tieba.baidu.com/p/8845018949,未知,戒烟、控烟,正面,未知
